PMID,Model Numbers,Model Name,Model Type,Prediction Variables,AUC Values (Development),C-index Values (Development),Accuracy (Development),F1-score (Development),Calibration Values (Development),Nomogram Application,Use of TRIPOD Guidelines
35672659,5,W-easy Ensemble,RFE + GBDT,45 features,0.91,N/A,0.8,0.8,"HIS integration, decision support, resource optimization",No,No
34737789,7,MTIALM,Deep learning (Multitask-based attention learning framework),Processed palm image (ROI),Task M: 84.28%; Task P: 84.71%,N/A,Task M: 83.16% ± 2.11; Task P: 84.15% ± 3.07,Task M: 81.25% ± 1.57; Task P: 82.91% ± 2.28,N/A,No,No
34737789,7,ResNet-50,Deep learning (Convolutional Neural Network),Processed palm image (ROI),N/A,N/A,Task M: 79.02% ± 2.35; Task P: 79.64% ± 4.03,Task M: 80.36% ± 1.23; Task P: 82.33% ± 0.77,N/A,No,No
34737789,7,DenseNet121,Deep learning (Convolutional Neural Network),Processed palm image (ROI),N/A,N/A,Task M: 78.63% ± 0.36; Task P: 79.19% ± 2.31,Task M: 74.12% ± 0.49; Task P: 75.63% ± 0.92,N/A,No,No
34737789,7,VGG16,Deep learning (Convolutional Neural Network),Processed palm image (ROI),N/A,N/A,Task M: 66.56% ± 1.24; Task P: 71.01% ± 0.48,Task M: 65.94% ± 1.22; Task P: 68.71% ± 0.89,N/A,No,No
34737789,7,AlexNet,Deep learning (Convolutional Neural Network),Processed palm image (ROI),N/A,N/A,Task M: 63.01% ± 2.15; Task P: 65.29% ± 1.01,Task M: 60.33% ± 1.87; Task P: 63.59% ± 3.01,N/A,No,No
34737789,7,InceptionV3,Deep learning (Convolutional Neural Network),Processed palm image (ROI),N/A,N/A,Task M: 66.28% ± 2.27; Task P: 68.25% ± 1.77,Task M: 63.97% ± 4.11; Task P: 65.29% ± 3.18,N/A,No,No
34737789,7,MobileNet,Deep learning (Convolutional Neural Network),Processed palm image (ROI),N/A,N/A,Task M: 72.37% ± 4.13; Task P: 73.02% ± 2.19,Task M: 71.86% ± 2.92; Task P: 71.88% ± 1.45,N/A,No,No
35059311,1,Lung Cancer Risk Prediction Model,Cox proportional hazards regression,"Age (40–44, 45–49, 50–54, 55–59, 60–64, 65–69, 70–74 years), Gender (male, female), Education Level (low: primary school or below; medium: junior or senior high school; high: undergraduate or over), Family History of Lung Cancer (yes, no), History of Tuberculosis (yes, no), History of Hyperlipidemia (yes, no)","1-year: 0.668, 3-year: 0.678, 5-year: 0.685",N/A,N/A,N/A,Calibration curves satisfactory,Yes,No
29621362,2,Tyrer-Cuzick Model,Risk prediction model (statistical),"First- and second-degree family history of breast cancer, first-degree family history of ovarian cancer, age, weight, height, parity, menopausal status, age at menarche, benign breast disease, ovarian cancer, BMI",N/A,N/A,N/A,N/A,"Overall O/E: 1.02 (95% CI: 0.98–1.06); O/E by 10-year risk: <2%: 1.22, 2%–<3%: 1.01, 3%–<5%: 1.02, 5%–<8%: 0.87, ≥8%: 0.79; Age-adjusted slope: −0.003 (95% CI: −0.018 to 0.012)",No,No
29621362,2,Tyrer-Cuzick Model with Density,Risk prediction model (statistical),"First- and second-degree family history of breast cancer, first-degree family history of ovarian cancer, age, weight, height, parity, menopausal status, age at menarche, benign breast disease, ovarian cancer, BMI, BI-RADS breast density",N/A,N/A,N/A,N/A,"Overall O/E: 0.98 (95% CI: 0.94–1.02); O/E by 10-year risk: <2%: 1.17, 2%–<3%: 1.04, 3%–<5%: 0.99, 5%–<8%: 0.80, ≥8%: 0.78; Age-adjusted slope: −0.008 (95% CI: −0.020 to 0.004)",No,No
29574637,1,CBCRisk,N/A,"Age at first BC diagnosis, anti-estrogen therapy, family history of BC, high-risk pre-neoplasia status, breast density, ER status, type of first BC, age at first birth, current age",JH 3-year: 0.65; JH 5-year: 0.62; MDA 3-year: 0.61; MDA 5-year: 0.61,N/A,N/A,N/A,"JH 3-year E/O: 2.02 (95% CI: 1.41, 2.89); JH 5-year E/O: 1.56 (95% CI: 1.19, 2.04); MDA 3-year E/O: 0.61 (95% CI: 0.46, 0.82); MDA 5-year E/O: 0.52 (95% CI: 0.40, 0.67)",No,No
37511678,6,Model A,Logistic regression with LASSO,"wGRS202, age, sex, changes in bowel habits, abdominal pain",0.767 (95% CI: 0.748–0.786),"0.767 (95% CI: 0.748–0.786), Corrected: 0.765",N/A,N/A,HL p-value = 0.024; Brier = 0.183; calibration curve plotted,Yes,Yes
37511678,6,Model B,Logistic regression with LASSO,"age, sex, changes in bowel habits, abdominal pain",0.754 (95% CI: 0.735–0.774),"0.754 (95% CI: 0.735–0.774), Corrected: 0.753",N/A,N/A,HL p-value = 0.711; Brier = 0.188; calibration curve plotted,No,No
37511678,6,Model C,Logistic regression (full model),"wGRS202, age, sex, BMI, family history, changes in bowel habits, rectal bleeding, weight loss, anaemia, abdominal pain",0.767 (95% CI: 0.749–0.786),"0.767 (95% CI: 0.749–0.786), Corrected: 0.764",N/A,N/A,HL p-value = 0.018; Brier score = 0.183; calibration curve plotted,No,No
37511678,6,Model D,Logistic regression (full model),"age, sex, BMI, family history, changes in bowel habits, rectal bleeding, weight loss, anaemia, abdominal pain",0.755 (95% CI: 0.736–0.775),"0.755 (95% CI: 0.736–0.775), Corrected: 0.752",N/A,N/A,HL p-value = 0.428; Brier score = 0.187; calibration curve plotted,No,Yes
37511678,6,Model F,Random forest regression,"wGRS202, age, sex, BMI, family history, changes in bowel habits, rectal bleeding, weight loss, anaemia, abdominal pain (assumed)",N/A,N/A,N/A,N/A,N/A,No,Yes
37511678,6,Model G,Random forest regression,"age, sex, BMI, family history, changes in bowel habits, rectal bleeding, weight loss, anaemia, abdominal pain (assumed)",N/A,N/A,N/A,N/A,N/A,No,Yes
33390155,5,LiFeCRC Score,Cox proportional hazard with elastic net regularization,"Age, waist circumference, height, daily alcohol consumption, smoking, physical activity, vegetables, dairy products, processed meat, sugar and confectionary",N/A,0.714,N/A,N/A,Good calibration based on comparable intercepts in calibration plots for derivation and validation cohorts,Yes,Yes
33390155,5,LiFeCRC Score (Men),Cox proportional hazard with elastic net regularization,"Age, waist circumference, daily alcohol consumption, smoking, vegetables, dairy products, dark bread, red meat",N/A,0.708,N/A,N/A,Good calibration based on comparable intercepts in calibration plots for derivation and validation cohorts,No,Yes
33390155,5,LiFeCRC Score (Women),Cox proportional hazard with elastic net regularization,"Age, waist circumference, height, smoking, vegetables, processed meat",N/A,0.699,N/A,N/A,Good calibration based on comparable intercepts in calibration plots for derivation and validation cohorts,No,Yes
33390155,5,LiFeCRC Score (Colon),Cox proportional hazard with elastic net regularization,"Age, waist circumference, height, daily alcohol consumption, smoking, physical activity, vegetables, dairy products, dark bread",N/A,0.708,N/A,N/A,Good calibration based on comparable intercepts in calibration plots for derivation and validation cohorts,No,Yes
33390155,5,LiFeCRC Score (Rectal),Cox proportional hazard with elastic net regularization,"Age, waist circumference, height, daily alcohol consumption, smoking, vegetables, processed meat, soft drinks",N/A,0.728,N/A,N/A,Good calibration based on comparable intercepts in calibration plots for derivation and validation cohorts,No,Yes
36493335,1,N/A,Complex segregation analysis (implemented using MENDEL software v3.3),"BRCA2, HOXB13, BRCA1 pathogenic variants; 268-SNP polygenic score (PGS); polygenic component (PGC); hypothetical recessive high-risk allele; detailed cancer family history (FH); age; birth cohort; ascertainment adjustment (e.g., method of PCa diagnosis)",N/A,"Validation stage (UK Biobank): 0.790 (95% CI, 0.783–0.797) for 5-year risk; 0.772 (95% CI, 0.768–0.777) for 10-year risk",N/A,N/A,"Validation stage (UK Biobank): Calibration plots show recalibrated risks align with observed risks (Figs 4C, 4D); slight overestimation in highest-risk decile (observed/predicted 10-year risk ratio = 0.90; 95% CI, 0.87–0.93). No Hosmer-Lemeshow test or Brier Score reported.",No,No
35875103,5,tPSA LR,Univariate Logistic Regression,tPSA,0.846,N/A,77.10%,N/A,Hosmer–Lemeshow p > 0.05; Brier Score = 0.154,No,No
35875103,5,Multivariate LR,Multivariate Logistic Regression,"Age, tPSA, fPSA, PV, NLR, Neutrophil count, Lymphocyte count",0.918,N/A,87.60%,N/A,Hosmer–Lemeshow p > 0.05; Brier Score = 0.119,No,No
35875103,5,N/A,Decision Tree,"Age, tPSA, fPSA, PV, PSAD, NLR, f/tPSA, Biopsy results",0.886,N/A,78.80%,N/A,N/A,No,No
35875103,5,Random Forest,Random Forest,"Age, tPSA, fPSA, PV, PSAD, NLR, Neutrophil count",0.898,N/A,81.80%,N/A,N/A,No,No
35875103,5,Support Vector Machine,Support Vector Machine,"Age, tPSA, fPSA, PV, PSAD",0.895,N/A,86.10%,N/A,"Net benefit (DCA), significantly higher",No,No
33669642,3,Gastric Cancer Prediction Model (GCS),N/A,"Age, BMI, family history of cancer, meal regularity, salt preference, meal preference, weekly meat consumption frequency, alcohol consumption, smoking amount, physical activity",Total: 0.580 (95% CI: 0.549–0.612); H. pylori negative: 0.665 (95% CI: 0.563–0.767); H. pylori positive: 0.574 (95% CI: 0.537–0.611),N/A,N/A,N/A,N/A,No,No
33669642,3,Polygenic Risk Score (PRS),Weighted sum of risk alleles,"rs2294008, rs6656150, rs8280142782, rs760077, rs140081212, rs4460629",Total: 0.565 (95% CI: 0.535–0.596); H. pylori negative: 0.510 (95% CI: 0.411–0.609); H. pylori positive: 0.574 (95% CI: 0.539–0.610),N/A,N/A,N/A,N/A,No,No
33669642,3,PRS-GCS,Combined standardized scores,"Standardized GCS score, standardized PRS",Total: 0.607 (95% CI: 0.576–0.638); H. pylori negative: 0.605 (95% CI: 0.503–0.708); H. pylori positive: 0.605 (95% CI: 0.569–0.642),N/A,N/A,N/A,N/A,No,No
33223755,1,Questionnaire-based prediction model,Qualitative scoring system,"Smoking (≥20 cigarettes/day for ≥10 years), alcohol consumption (≥28 g ethanol/day for ≥10 years), eating salt-preserved food (≥1/week), eating very hot/hard food, family history of upper gastrointestinal cancer, chest pain/pressure/burning, dysphagia, chronic heartburn/indigestion, vomiting/hemoptysis, progressive weight loss, esophageal reflux, history of gastric disease (gastric ulcer, superficial gastritis, atrophic gastritis)",N/A,N/A,N/A,N/A,N/A,No,No
36568745,1,N/A,Fine-Gray competing risk regression,"Sex (Male/Female), Age (40–49, 50–59, ≥60 years), BMI (<25, 25–29.9, ≥30 kg/m²), Smoking Status (Never, Previous, Current), Drinking Status (Never, Previous, Current), Sleep Pattern (Poor, Intermediate, Healthy), Family History of Cancer (Yes/No), Diabetes (Yes/No), High Cholesterol (Yes/No), Cardiovascular Disease (Yes/No), Viral Hepatitis (Yes/No), Liver Disease (Yes/No)",0.771 (95% CI: 0.702–0.840),N/A,N/A,N/A,Calibration plot shows good agreement between observed and predicted 5-year risks,Yes,No
39350987,5,LR,Logistic Regression,"Age, WBC, RBC, PLT, AFP, PIVKA-II",0.827 (95% CI: 0.764–0.890),N/A,74.55%,0.79,Excellent calibration (calibration curve),No,No
39350987,5,SVM,Support Vector Machine,"Age, WBC, RBC, PLT, AFP, PIVKA-II",0.803 (95% CI: 0.735–0.871),N/A,72.73%,0.77,Excellent calibration (calibration curve),No,No
39350987,5,RF,Random Forest,"Age, WBC, RBC, PLT, AFP, PIVKA-II",0.858 (95% CI: 0.800–0.917),N/A,80.00%,0.72,Excellent calibration (calibration curve),No,No
39350987,5,LASSO,Least Absolute Shrinkage and Selection Operator,"Age, Sex, AFP, PIVKA-II",0.831 (95% CI: 0.769–0.893),N/A,72.73%,0.81,"Best predictive ability, closely matching predicted to actual values (calibration curve)",No,No
39350987,5,ASAP,Logistic Regression,"Age, Sex, AFP, PIVKA-II",0.813 (95% CI: 0.747–0.879),N/A,73.94%,0.7,Excellent calibration (calibration curve),No,No
36772237,10,Naive Bayes,Probabilistic Classifier,"Gender, Education, Current Smoker, BPMeds, Prevalent Stroke, Prevalent Hypertension, Diabetes, Age, Cigs/Day, Total Cholesterol, Systolic BP, Diastolic BP, BMI, Heart Rate, Glucose",0.941,N/A,90.60%,0.901,N/A,No,No
36772237,10,Logistic Regression,Probabilistic Classifier,"Gender, Education, Current Smoker, BPMeds, Prevalent Stroke, Prevalent Hypertension, Diabetes, Age, Cigs/Day, Total Cholesterol, Systolic BP, Diastolic BP, BMI, Heart Rate, Glucose",0.793,N/A,77.90%,0.735,N/A,No,No
36772237,10,Multilayer Perceptron,Artificial Neural Network,"Gender, Education, Current Smoker, BPMeds, Prevalent Stroke, Prevalent Hypertension, Diabetes, Age, Cigs/Day, Total Cholesterol, Systolic BP, Diastolic BP, BMI, Heart Rate, Glucose",0.833,N/A,79.80%,0.771,N/A,No,No
36772237,10,K-Nearest Neighbors,Distance-based Classifier,"Gender, Education, Current Smoker, BPMeds, Prevalent Stroke, Prevalent Hypertension, Diabetes, Age, Cigs/Day, Total Cholesterol, Systolic BP, Diastolic BP, BMI, Heart Rate, Glucose",0.854,N/A,79.60%,0.811,N/A,No,No
36772237,10,Random Forest,Ensemble (Decision Tree),"Gender, Education, Current Smoker, BPMeds, Prevalent Stroke, Prevalent Hypertension, Diabetes, Age, Cigs/Day, Total Cholesterol, Systolic BP, Diastolic BP, BMI, Heart Rate, Glucose",0.931,N/A,85.50%,0.857,N/A,No,No
36772237,10,Rotation Forest,Ensemble (Decision Tree),"Gender, Education, Current Smoker, BPMeds, Prevalent Stroke, Prevalent Hypertension, Diabetes, Age, Cigs/Day, Total Cholesterol, Systolic BP, Diastolic BP, BMI, Heart Rate, Glucose",0.925,N/A,84.50%,0.849,N/A,No,No
36772237,10,J48,Decision Tree,"Gender, Education, Current Smoker, BPMeds, Prevalent Stroke, Prevalent Hypertension, Diabetes, Age, Cigs/Day, Total Cholesterol, Systolic BP, Diastolic BP, BMI, Heart Rate, Glucose",0.857,N/A,78.70%,0.79,N/A,No,No
36772237,10,Stacking,Ensemble (Meta-Classifier),"Gender, Education, Current Smoker, BPMeds, Prevalent Stroke, Prevalent Hypertension, Diabetes, Age, Cigs/Day, Total Cholesterol, Systolic BP, Diastolic BP, BMI, Heart Rate, Glucose",0.961,N/A,90.90%,0.921,N/A,No,No
36772237,10,Bagging,Ensemble (Decision Tree),"Gender, Education, Current Smoker, BPMeds, Prevalent Stroke, Prevalent Hypertension, Diabetes, Age, Cigs/Day, Total Cholesterol, Systolic BP, Diastolic BP, BMI, Heart Rate, Glucose",0.926,N/A,84.30%,0.846,N/A,No,No
36772237,10,Voting,Ensemble (Combination),"Gender, Education, Current Smoker, BPMeds, Prevalent Stroke, Prevalent Hypertension, Diabetes, Age, Cigs/Day, Total Cholesterol, Systolic BP, Diastolic BP, BMI, Heart Rate, Glucose",0.958,N/A,90.80%,0.904,N/A,No,No
39553308,3,Gene Expression Signature Model,Lasso regression,"PTGER1, CXCL1, PIK3R1, CXCL3",0.98,N/A,N/A,N/A,N/A,No,No
39553308,3,Immune Scoring Model,Lasso regression,"CD4 naïve T cells, activated memory CD4 T cells, regulatory T cells (Tregs), gamma delta T cells, resting NK cells",0.92,N/A,N/A,N/A,N/A,No,No
39553308,3,Combined Immune Infiltration and Gene Expression Model,Lasso regression + Multivariate logistic regression,"PTGER1, CXCL1, PIK3R1, CXCL3, Immune score",0.98 (95% CI N/A),0.985 (95% CI: 0.975–1.000),N/A,N/A,Decision Curve Analysis (DCA): Net benefits for threshold probabilities between 1% and 100%,Yes,No
35983181,1,N/A,Logistic regression with LASSO,"Age, BMI, DBP, DM, ALT, AST, GGT","0.930 (95% CI: 0.920–0.940, external validation)","0.930 (95% CI: 0.920–0.940, external validation)",N/A,N/A,"Hosmer–Lemeshow test: χ² = 16.7528, P-value = 0.0527; calibration curve shows good fit (external validation)",Yes,No
33936038,1,N/A,Multivariate logistic regression with LASSO variable selection,"KRT10 expression level, hyperlipidemia, age",0.922 (95% CI: 0.866–0.978),N/A,N/A,N/A,Hosmer-Lemeshow test p-value = 0.666; calibration curve showed high agreement,No,Yes
36581881,6,LightGBM,Gradient Boosting Machine,"78 features from MIMIC-III, 63 from HDRJH (e.g., antibiotics, respiratory rate, temperature, ventilation, heart rate, fibrinogen, net balance, age)","0.93 (validation, HDRJH, 4-h preceding, CI N/A)",N/A,0.83,N/A,N/A,No,Yes
36581881,6,MLP,Multilayer Perceptron,"78 features from MIMIC-III, 63 from HDRJH (e.g., antibiotics, respiratory rate, temperature, ventilation, heart rate, fibrinogen, net balance, age)","0.93 (validation, HDRJH, 4-h preceding, CI N/A)",N/A,0.78,N/A,N/A,No,Yes
36581881,6,Ensemble,Ensemble (LightGBM + MLP),"78 features from MIMIC-III, 63 from HDRJH (e.g., antibiotics, respiratory rate, temperature, ventilation, heart rate, fibrinogen, net balance, age)","0.94 (validation, HDRJH, 1–5 h preceding, CI N/A); 0.86–0.90 (real-world, 1–5 h preceding, CI N/A)",N/A,0.82–0.86,N/A,N/A,No,Yes
36581881,6,XGBoost,Gradient Boosting,"78 (MIMIC-III), 63 (HDRJH); e.g., antibiotics, respiratory rate, temperature, ventilation, heart rate, fibrinogen, net balance, age",N/A,N/A,N/A,N/A,N/A,No,Yes
36581881,6,LSTM,Long Short-Term Memory (Deep Learning),"78 (MIMIC-III), 63 (HDRJH); e.g., antibiotics, respiratory rate, temperature, ventilation, heart rate, fibrinogen, net balance, age",N/A,N/A,N/A,N/A,N/A,No,Yes
36581881,6,SVM,Support Vector Machine,"78 (MIMIC-III), 63 (HDRJH); e.g., antibiotics, respiratory rate, temperature, ventilation, heart rate, fibrinogen, net balance, age",N/A,N/A,N/A,N/A,N/A,No,Yes
34255071,1,SPLC Risk Prediction Model,"Cause-specific Cox regression, Fine-Gray regression","IPLC histology, prior history of cancer, meeting the 2013 USPSTF eligibility criteria, smoking intensity (cigarettes per day), IPLC surgery, IPLC stage, interaction term (Stage of IPLC × USPSTF Criteria)","PLCO: 78.8% (95% CI: 74.6%–82.9%), NLST: 72.7% (95% CI: 67.7%–77.7%)",N/A,N/A,N/A,"Development: Brier score = 2.9 (95% CI: 2.4–3.3), good calibration across risk deciles; Validation: PLCO and NLST showed good calibration",Yes,No
33659912,12,MEWS,Early-warning score,Worst physiological variables in past 24 h,"0.63 (Case 1: 0.54, Case 2: 0.72)",N/A,N/A,N/A,N/A,No,No
33659912,12,NEWS,Early-warning score,Worst physiological variables in past 24 h,"0.62 (Case 1: 0.52, Case 2: 0.72)",N/A,N/A,N/A,N/A,No,No
33659912,12,SIRS,Early-warning score,"Heart rate, body temperature, respiratory rate, white blood cell count","0.62 (Case 1: 0.56, Case 2: 0.69)",N/A,N/A,N/A,N/A,No,No
33659912,12,qSOFA,Early-warning score,N/A,"0.59 (Case 1: 0.53, Case 2: 0.65)",N/A,N/A,N/A,N/A,No,No
33659912,12,Logistic Regression,Logistic regression,"Aggregated temporal features (count, mean, min, max, standard deviation of events)","0.84 (Case 1: 0.89, Case 2: 0.79)",N/A,N/A,N/A,N/A,No,No
33659912,12,Random Forest,Random forest,"Aggregated temporal features (count, mean, min, max, standard deviation of events)","0.85 (Case 1: 0.90, Case 2: 0.81)",N/A,N/A,N/A,N/A,No,No
33659912,12,Gradient-Boosting Trees,Gradient-boosting trees,"Aggregated temporal features (count, mean, min, max, standard deviation of events)","0.86 (Case 1: 0.91, Case 2: 0.81)",N/A,N/A,N/A,N/A,No,No
33659912,12,GRU,Deep learning (RNN),Embedded feature vectors from EHR data,"0.84 (Case 1: 0.88, Case 2: 0.80)",N/A,N/A,N/A,N/A,No,No
33659912,12,LSTM,Deep learning (RNN),Embedded feature vectors from EHR data,"0.85 (Case 1: 0.89, Case 2: 0.80)",N/A,N/A,N/A,N/A,No,No
33659912,12,RETAIN,Deep learning (RNN),Embedded feature vectors from EHR data,"0.85 (Case 1: 0.90, Case 2: 0.80)",N/A,N/A,N/A,N/A,No,No
33659912,12,Dipole,Deep learning (RNN),Embedded feature vectors from EHR data,"0.86 (Case 1: 0.90, Case 2: 0.81)",N/A,N/A,N/A,N/A,No,No
33659912,12,Proposed Model,Deep learning (LSTM),"Event embeddings, time encodings, clinical features from EHR data","0.892 (Case 1: 0.940, Case 2: 0.845)",N/A,N/A,N/A,N/A,No,No
39076472,4,Jaccard Index (JI),"Logistic Regression, Support Vector Classifier, Random Forest, Extreme Gradient Boosting","comorbidity indicators (binary or proportion-based), associated ORs, alpha indices, patient demographics (age and sex), and similarity-based metrics (JI, PJI, OPJI, APJI)","0.586–0.695 (Q1: 0.625, Q2: 0.644, Q3: 0.663)",N/A,0.614–0.625,0.613–0.623,N/A,No,No
39076472,4,Proportional Jaccard Index (PJI),"Logistic Regression, Support Vector Classifier, Random Forest, Extreme Gradient Boosting","comorbidity indicators (binary or proportion-based), associated ORs, alpha indices, patient demographics (age and sex), and similarity-based metrics (JI, PJI, OPJI, APJI)","0.706–0.873 (Q1: 0.759, Q2: 0.7815, Q3: 0.808)",N/A,0.674–0.773,0.674–0.772,N/A,No,No
39076472,4,Odds Ratio Proportional Jaccard Index (OPJI),"Logistic Regression, Support Vector Classifier, Random Forest, Extreme Gradient Boosting","comorbidity indicators (binary or proportion-based), associated ORs, alpha indices, patient demographics (age and sex), and similarity-based metrics (JI, PJI, OPJI, APJI)","0.729–0.875 (Q1: 0.786, Q2: 0.813, Q3: 0.83525)",N/A,0.729–0.775,0.728–0.775,N/A,No,No
